date,employeeId,username,email,building,shift,area,productFamily,testStage,serversAssigned,serversCompleted,racksAssigned,racksCompleted,expectedCheckActions,validCheckActions,inspectionsExpected,inspectionsCompleted,unitsRepaired,unitsPassedFirstRerun,unitsEventuallyPassed,successfulReruns,totalReruns,escalatedUnits,totalFailedUnitsWorked,totalAttemptsToPass,passedRepairUnitCount,mttrMinutesTotal,mttrSampleCount,postTestEscapes,unitsPassed,repeatFailures,repairedUnitsForRepeatCheck,inspectionIssuesCaught,totalIssuesFound,incorrectRepairActions,totalRepairActions,technicianAttributedDefects,unitsHandled,scheduledShifts,shiftsAttendedOnTime,daysWorked,daysWithSuccessfulEsd,esdFirstPassDays,totalEsdDays,infractionPoints,plannedCrossTrainingModules,completedCrossTrainingModules,knowledgeSharingEvents,ciParticipationEvents,leadershipSupportEvents,excludedSystemDelayMinutes,excludedPartWaitMinutes,excludedInfraMinutes,complexityMultiplier,sourceBatchId,notes
2026-01-01,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,40,32,7,6,98,88,9,8,13,9,12,14,18,2,15,22.8,12,373.1,13,1,30,2,12,5,6,0,13,1,46,1,1,1,1,1,1,0,8,0,0,0,0,14,8.6,3.8,1.3,,
2026-01-02,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,38,34,7,6,85,77,8,7,13,9,12,12,17,3,16,21.6,12,347.1,13,2,33,3,12,5,5,1,13,1,42,1,1,1,1,0,1,0,8,0,0,0,0,10.7,17.5,12,1.1,,
2026-01-03,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,39,35,6,5,91,82,12,11,12,10,10,11,14,2,14,20,10,337.2,12,2,35,0,10,3,3,1,15,2,43,1,0,1,1,0,1,0.5,8,2,0,0,0,18.3,17.4,11.8,1.1,,
2026-01-06,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,31,28,6,5,84,76,11,10,10,7,8,10,14,3,13,12,8,249,10,2,25,0,8,5,7,2,13,0,38,1,1,1,1,1,1,0,8,2,2,0,0,21.8,11.2,3,1.2,,Led safety standup meeting
2026-01-07,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,37,33,6,5,88,88,8,7,10,7,9,9,13,2,12,16.2,9,279,10,2,33,1,9,3,3,1,10,0,43,1,1,1,1,1,1,0,8,2,1,1,0,22.6,7.5,2.1,1.2,,Mentored junior technician on rack assembly
2026-01-08,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,31,28,5,5,98,88,10,9,11,9,10,10,12,1,12,18,10,336.6,11,0,27,3,10,4,4,1,12,1,38,1,1,1,1,1,1,0,8,2,2,0,0,18.6,10.6,7.2,1.3,,Led safety standup meeting
2026-01-09,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,30,27,7,6,81,73,9,8,11,8,9,11,15,2,13,15.3,9,270.6,11,0,26,0,9,5,7,0,12,1,37,1,1,1,1,1,1,0,8,2,0,0,0,11.3,9.6,4.6,1.3,,
2026-01-10,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,33,30,6,5,96,96,12,11,11,8,9,9,13,2,13,14.4,9,346.5,11,2,27,0,9,5,6,1,13,0,38,1,1,1,1,0,1,0,8,3,0,0,0,18.4,7.5,8.9,1.3,,
2026-01-13,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,30,27,7,6,89,80,8,7,12,8,11,11,16,1,13,22,11,364.8,12,1,26,2,11,2,3,0,13,2,33,1,1,1,1,0,1,0,8,3,0,0,0,21.8,12.6,4.3,1.1,,
2026-01-14,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,32,26,5,4,84,76,12,11,14,10,11,11,15,3,17,20.9,11,364,14,0,24,2,11,5,5,2,15,2,39,1,1,1,1,1,1,0,8,3,2,1,1,10.9,17.8,6.6,1.1,,Assisted with cross-shift handoff documentation
2026-01-15,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,35,28,7,6,99,89,12,11,8,6,7,10,12,1,9,11.2,7,211.2,8,2,25,3,7,4,6,2,9,0,39,1,1,1,1,0,1,0,8,3,0,0,0,22.8,14.3,4.7,1.2,,Helped new tech with burn-in procedure
2026-01-16,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,33,26,6,5,84,76,8,7,11,9,9,12,15,1,12,15.3,9,290.4,11,0,26,0,9,5,6,2,14,0,40,1,1,1,1,1,1,0,8,3,0,0,0,21.1,16.2,11.2,1.3,,
2026-01-17,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,34,31,6,5,91,91,8,7,12,10,10,9,13,3,15,18,10,320.4,12,2,28,1,10,4,4,2,15,1,42,1,1,1,1,1,1,0,8,2,0,0,0,17,15.3,4.6,1.2,,
2026-01-20,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,31,28,6,5,93,84,8,7,9,6,7,10,13,2,11,13.3,7,225.9,9,1,25,0,7,4,5,2,12,2,33,1,1,1,1,1,1,0,8,2,0,1,0,15.8,7.1,6.3,1.3,,Mentored junior technician on rack assembly
2026-01-21,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,33,30,6,5,99,89,11,10,11,8,9,10,14,1,12,13.5,9,260.7,11,0,30,2,9,5,7,0,13,1,40,1,1,1,1,1,1,0,8,2,0,0,0,21.8,8,10.1,1.1,,
2026-01-22,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,40,36,7,6,100,90,8,7,12,8,11,14,17,2,14,16.5,11,361.2,12,0,34,3,11,5,7,2,14,2,46,1,1,1,1,1,1,0,8,2,0,0,0,20,10.1,9.3,1.1,,Helped new tech with burn-in procedure
2026-01-23,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,36,32,6,5,80,72,8,7,12,8,11,11,14,3,15,16.5,11,327.6,12,2,32,2,11,2,3,0,15,2,42,1,1,1,1,1,1,0,8,2,0,0,0,10.9,6,10.5,1.1,,
2026-01-24,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,36,32,6,5,91,82,12,11,10,7,8,11,15,2,12,12,8,275,10,2,29,1,8,4,5,1,11,2,41,1,1,1,1,1,1,0,8,1,0,0,0,23.6,14.7,7.5,1.2,,
2026-01-27,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,40,36,7,6,89,89,12,11,11,8,10,13,16,2,13,17,10,325.6,11,1,35,1,10,4,4,1,13,1,47,1,1,1,1,1,1,0,8,1,0,1,0,14.2,7.6,9.1,1.2,,Participated in Kaizen event
2026-01-28,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,36,32,7,6,97,97,8,7,10,7,9,9,11,1,11,13.5,9,239,10,1,29,2,9,4,6,0,11,2,42,1,1,1,1,1,1,0,8,1,0,0,0,22.7,8.8,8.5,1.1,,Presented process improvement idea
2026-01-29,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,38,34,5,5,93,84,8,7,12,8,10,14,17,3,15,19,10,382.8,12,0,31,2,10,5,7,0,13,1,40,1,1,1,0,0,1,0,8,1,0,0,0,13.2,13,5.8,1.1,,Participated in Kaizen event
2026-01-30,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,36,29,7,6,96,96,12,11,8,6,7,9,13,1,9,11.2,7,199.2,8,0,29,1,7,3,4,0,11,1,40,1,1,1,1,1,1,0,8,1,0,0,0,15.9,7.8,5.2,1.2,,Mentored junior technician on rack assembly
2026-01-31,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,37,33,7,6,82,74,9,8,9,6,8,7,10,2,11,13.6,8,272.7,9,2,30,2,8,4,5,2,9,0,42,1,1,1,1,1,1,0,8,3,0,0,0,20.9,16.7,5.3,1.3,,
2026-02-03,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,39,35,7,6,107,107,14,13,17,14,15,17,21,1,18,18,15,319.6,17,0,33,1,15,4,4,0,18,0,42,1,1,1,1,1,1,0,8,3,0,0,0,14.7,9.5,4.9,1.1,,
2026-02-04,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,38,34,8,7,114,114,15,15,14,11,13,12,15,2,16,16.9,13,246.4,14,0,33,0,13,3,4,1,14,0,46,1,1,1,1,1,1,0,8,3,0,0,0,12.4,9.8,2.2,1.1,,
2026-02-05,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,39,35,7,6,119,119,13,13,12,10,11,12,13,1,13,14.3,11,230.4,12,0,34,1,11,3,5,1,14,0,42,1,1,1,1,1,1,0,8,3,0,0,0,6.7,4.3,2.5,1,,
2026-02-06,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,41,37,7,6,105,105,14,13,13,10,12,14,16,0,13,15.6,12,213.2,13,1,34,1,12,5,6,0,13,0,43,1,1,1,1,1,1,0,8,3,0,0,0,5.6,3.4,1.2,1.2,,
2026-02-07,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,45,41,8,7,101,101,14,14,14,11,13,15,17,0,14,16.9,13,289.8,14,0,41,1,13,6,8,0,14,1,51,1,1,1,1,1,1,0,8,5,0,0,0,14.9,3.3,2.9,1.1,,
2026-02-10,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,41,37,9,8,108,108,12,11,17,14,15,18,20,1,18,21,15,340,17,0,37,0,15,5,6,1,18,0,44,1,1,1,1,1,1,0,8,5,0,0,0,8.7,4.9,3.3,1,,
2026-02-11,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,44,40,8,7,102,102,15,15,18,14,16,21,23,0,18,24,16,361.8,18,0,39,1,16,4,4,1,18,0,46,1,1,1,1,1,1,0,8,5,0,0,0,14.9,5.6,2,1,,
2026-02-12,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,41,37,8,7,116,116,12,11,17,14,15,19,21,1,18,19.5,15,357,17,0,34,2,15,3,4,1,18,1,43,1,1,1,1,1,1,0,8,5,0,0,0,5.9,6.5,1.8,1.1,,Presented process improvement idea
2026-02-13,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,43,39,9,8,109,109,13,12,17,15,15,17,21,2,19,19.5,15,338.3,17,1,39,2,15,6,7,0,19,0,47,1,1,1,1,1,1,0,8,5,0,0,0,14.1,7.8,3.1,1.1,,
2026-02-14,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,40,36,7,6,105,105,12,11,18,14,16,21,23,0,18,24,16,360,18,0,33,1,16,5,5,1,20,0,44,1,1,1,1,1,1,0,8,4,0,0,0,5.9,4.3,2,1.1,,
2026-02-17,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,41,37,9,8,106,106,12,11,13,12,12,11,14,1,14,18,12,280.8,13,0,36,2,12,6,6,0,13,1,43,1,1,1,1,1,1,0,8,4,0,0,0,7,6.4,1.6,1.1,,
2026-02-18,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,45,41,9,8,105,105,13,13,12,10,11,13,16,2,14,14.3,11,224.4,12,1,38,2,11,3,5,0,12,1,48,1,1,1,1,1,1,0,8,4,0,0,0,11.3,4.9,3.5,1.1,,
2026-02-19,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,44,40,7,6,104,104,15,14,17,14,15,15,19,2,19,19.5,15,307.7,17,0,40,2,15,3,4,1,18,0,48,1,1,1,1,1,1,0,8,4,0,0,0,13.5,7.2,2,1.1,,
2026-02-20,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,43,39,7,6,108,108,13,13,14,11,13,13,16,1,15,16.9,13,254.8,14,0,39,1,13,6,7,1,17,1,51,1,1,1,1,1,1,0,8,4,0,1,0,5.4,7.3,4.5,1,,Participated in Kaizen event
2026-02-21,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,41,37,9,8,111,111,13,12,12,10,11,11,14,1,13,13.2,11,201.6,12,1,35,2,11,6,8,1,14,1,44,1,1,1,1,1,1,0,8,4,0,0,0,6.1,5.6,4.9,1,,
2026-02-24,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,40,36,8,7,113,113,13,12,14,11,13,13,16,1,15,18.2,13,306.6,14,0,33,1,13,3,5,1,15,0,45,1,1,1,1,1,1,0,8,4,0,0,0,5.9,8.1,5,1.2,,
2026-02-25,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,43,39,8,7,116,116,16,16,18,14,16,16,20,1,19,22.4,16,289.8,18,1,37,2,16,4,6,0,18,1,51,1,1,1,1,1,1,0,8,4,0,0,0,11.1,6.6,3.1,1.1,,
2026-02-26,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,47,42,8,7,107,107,15,15,13,10,12,14,18,0,13,15.6,12,275.6,13,1,42,1,12,4,4,0,15,1,49,1,1,1,1,1,1,0,8,4,0,0,0,14.2,8.6,5.1,1.1,,Participated in Kaizen event
2026-02-27,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,38,34,9,8,106,106,13,13,14,13,13,17,19,1,15,16.9,13,233.8,14,1,34,0,13,4,4,0,14,1,42,1,1,1,1,1,1,0,8,4,0,0,0,11.8,8.9,3.9,1.2,,
2026-02-28,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,38,34,8,7,115,115,16,14,15,14,14,14,18,0,15,21,14,276,15,1,31,1,14,5,7,1,16,0,43,1,1,1,1,1,1,0,8,3,0,0,0,11.5,4.3,3.8,1,,
2026-03-03,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,55,50,8,7,127,127,16,16,19,17,19,20,22,1,20,19,19,298.3,19,0,50,1,19,4,4,0,20,0,58,1,1,1,1,1,1,0,8,3,2,0,1,3.8,1.1,4,1,,Presented process improvement idea
2026-03-04,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,52,52,11,11,115,115,14,14,16,14,16,15,17,0,16,19.2,16,283.2,16,0,50,0,16,6,8,0,18,0,54,1,1,1,1,0,1,0,8,3,0,0,0,7.7,1.6,2.8,1,,
2026-03-05,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,50,50,11,11,120,120,14,14,19,17,17,18,20,0,19,20.4,17,317.3,19,0,48,1,17,5,5,0,22,0,52,1,1,1,1,1,1,0,8,3,0,0,1,4,1,0.9,1,,Led safety standup meeting
2026-03-06,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,51,51,8,8,113,113,15,15,21,19,21,23,25,0,21,27.3,21,342.3,21,0,48,0,21,4,4,0,21,0,53,1,1,1,1,1,1,0,8,3,0,0,0,3.1,4.8,3.9,1,,
2026-03-07,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,55,55,11,11,114,114,18,18,17,15,17,18,20,0,17,18.7,17,283.9,17,0,54,0,17,5,5,0,19,0,59,1,1,1,1,1,1,0,8,6,0,0,0,3.5,2.4,1.6,1.1,,
2026-03-09,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,53,53,8,8,126,126,18,18,21,19,21,20,22,1,22,25.2,21,315,21,0,50,1,21,6,6,0,22,0,57,1,1,1,1,1,1,0,8,6,0,0,0,3.8,2,3.6,1.1,,
2026-03-10,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,50,50,11,11,128,128,18,18,21,19,21,22,24,0,21,23.1,21,294,21,0,49,0,21,7,8,0,22,0,56,1,1,1,1,1,1,0,8,6,0,1,1,2.6,6,1.3,1,,Led safety standup meeting
2026-03-11,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,50,45,9,8,114,114,18,18,19,17,19,21,23,0,19,20.9,19,239.4,19,0,42,0,19,7,7,0,20,0,53,1,1,1,1,1,1,0,8,6,0,0,0,6.5,3.4,3.9,1.1,,
2026-03-12,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,54,54,9,9,120,120,18,18,22,20,22,24,27,1,23,22,22,389.4,22,0,53,0,22,6,8,0,22,0,59,1,1,1,1,1,1,0,8,6,0,0,0,9.7,3.8,1.8,1,,
2026-03-13,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,51,51,9,9,111,111,17,17,22,20,20,22,24,0,22,22,20,352,22,1,51,0,20,5,7,0,22,0,57,1,1,1,1,1,1,0,8,6,0,0,0,3.9,1.8,0.8,1,,
2026-03-16,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,49,49,9,9,125,125,18,18,22,20,22,24,27,1,23,26.4,22,356.4,22,1,46,1,22,4,4,0,24,0,51,1,1,1,1,1,1,0,8,6,0,0,0,2.4,3.5,0,1,,
2026-03-17,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,47,47,11,11,112,112,15,15,22,20,22,21,23,0,22,24.2,22,330,22,0,46,1,22,4,6,0,23,0,51,1,1,1,1,1,1,0,8,6,1,1,1,5.4,2.2,2.5,1.1,,Led safety standup meeting
2026-03-18,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,55,50,8,7,129,129,16,16,22,20,22,21,23,0,22,24.2,22,303.6,22,0,48,0,22,5,7,0,25,0,57,1,1,1,1,1,1,0,8,6,1,0,0,5.3,5.4,0.9,1.1,,Covered for absent lead during standup
2026-03-19,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,55,55,11,11,110,110,18,18,16,14,16,15,17,0,16,20.8,16,259.2,16,0,54,0,16,6,8,0,17,0,62,1,1,1,1,1,1,0,8,6,0,0,0,5.6,3.4,1.7,1,,
2026-03-20,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,52,52,11,11,117,117,18,18,17,15,15,17,19,0,17,18,15,294.1,17,0,50,0,15,6,8,0,18,0,58,1,1,1,1,1,1,0,8,6,0,0,0,9.4,5.7,3.1,1.1,,
2026-03-23,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,49,49,9,9,115,115,17,17,22,20,22,23,25,1,23,24.2,22,297,22,0,48,1,22,6,7,0,23,0,52,1,1,1,1,1,1,0,8,6,0,0,0,9.6,3,1.2,1.1,,
2026-03-24,EMP-1001,,,BLD-A,DAY,ZONE-2,SERVER-X3,BURN-IN,49,49,8,8,123,123,15,15,18,16,16,21,23,0,18,17.6,16,246.6,18,0,48,0,16,7,8,0,19,0,53,1,1,1,1,1,1,0,8,6,0,0,0,8,5.2,0,1,,
